Date,Open,High,Low,Close,Adj Close,Volume
2022-01-27,34.139999,35.141701,33.810001,33.840000,33.840000,16637276
2022-01-28,33.790001,35.299999,33.599998,35.270000,35.270000,14368685
2022-01-31,35.430000,37.560001,35.340000,37.509998,37.509998,17558278
2022-02-01,37.840000,38.169998,36.869999,38.119999,38.119999,14628246
2022-02-02,38.290001,38.290001,36.250000,36.509998,36.509998,18992993
2022-02-03,33.840000,35.180000,33.840000,34.480000,34.480000,32803389
2022-02-04,35.660000,37.439999,34.759998,36.939999,36.939999,23579592
2022-02-07,36.720001,37.330002,35.895000,36.040001,36.040001,22770464
2022-02-08,35.520000,36.270000,35.150002,35.980000,35.980000,17194932
2022-02-09,36.500000,37.919998,36.139999,37.830002,37.830002,24473520
2022-02-10,36.560001,39.099998,36.220001,37.080002,37.080002,48150273
2022-02-11,37.419998,37.759998,35.660000,35.840000,35.840000,23516836
2022-02-14,35.619999,36.610001,35.500000,35.689999,35.689999,15212644
2022-02-15,36.230000,37.000000,36.060001,36.980000,36.980000,21350445
2022-02-16,35.970001,36.285000,35.520000,36.240002,36.240002,17602359
2022-02-17,35.990002,36.610001,35.320000,35.430000,35.430000,16524414
2022-02-18,35.490002,35.660000,34.099998,34.320000,34.320000,15339039
2022-02-22,33.660000,33.930000,32.750000,32.930000,32.930000,16913051
2022-02-23,33.250000,33.455002,32.419998,32.759998,32.759998,15102051
2022-02-24,31.299999,35.064999,31.299999,34.980000,34.980000,22551009
2022-02-25,35.119999,35.299999,34.130001,35.290001,35.290001,15394855
2022-02-28,34.950001,36.049999,34.855000,35.549999,35.549999,17962027
2022-03-01,35.509998,36.127602,34.705002,35.560001,35.560001,17948015
2022-03-02,35.770000,35.770000,34.130001,34.619999,34.619999,18255137
2022-03-03,34.900002,35.180000,33.450001,33.490002,33.490002,18791981
2022-03-04,33.750000,34.230000,32.950001,33.389999,33.389999,17537857
2022-03-07,33.509998,33.880001,32.400002,32.419998,32.419998,18780247
2022-03-08,32.270000,33.830002,31.950001,32.680000,32.680000,17410612
2022-03-09,33.549999,34.529999,33.299999,34.369999,34.369999,16886048
2022-03-10,33.630001,34.439999,33.369999,34.119999,34.119999,12583295
2022-03-11,34.040001,34.110001,32.880001,33.000000,33.000000,15751909
2022-03-14,32.689999,33.950001,32.480000,33.029999,33.029999,17551479
2022-03-15,33.119999,34.520000,33.000000,33.970001,33.970001,14677991
2022-03-16,34.900002,35.650002,34.320000,35.369999,35.369999,25197014
2022-03-17,35.209999,37.709999,34.889999,37.299999,37.299999,30853067
2022-03-18,37.459999,39.044998,37.180000,37.770000,37.770000,35946312
2022-03-21,37.700001,37.889999,36.639999,37.439999,37.439999,20298742
2022-03-22,37.639999,39.044998,37.619999,38.430000,38.430000,17162051
2022-03-23,38.000000,38.750000,37.580002,38.000000,38.000000,12993635
2022-03-24,38.330002,39.090000,38.230000,38.820000,38.820000,18281410
2022-03-25,38.990002,39.470501,37.689999,38.599998,38.599998,20787529
2022-03-28,38.439999,39.294998,38.299999,39.119999,39.119999,14225619
2022-03-29,39.480000,40.959000,39.389999,40.689999,40.689999,17855436
2022-03-30,40.349998,40.349998,38.570000,39.000000,39.000000,15804341
2022-03-31,39.110001,39.230000,38.410500,38.689999,38.689999,13208334
2022-04-01,39.160000,39.855000,39.000000,39.310001,39.310001,12131791
2022-04-04,47.869999,51.369999,46.860001,49.970001,49.970001,269213085
2022-04-05,53.849998,54.570000,50.560001,50.980000,50.980000,217520098
2022-04-06,50.035000,52.869999,49.299999,50.770000,50.770000,159034747
2022-04-07,50.470001,51.639999,46.549999,48.029999,48.029999,120844135
2022-04-08,47.299999,48.439999,45.832100,46.230000,46.230000,83315946
2022-04-11,45.750000,47.980000,44.709999,47.009998,47.009998,117814009
2022-04-12,47.029999,47.549999,44.439999,44.480000,44.480000,60794025
2022-04-13,44.799999,46.330002,44.549999,45.849998,45.849998,44306698
2022-04-14,48.369999,48.500000,44.720001,45.080002,45.080002,258868339
2022-04-18,46.240002,48.730000,44.360001,48.450001,48.450001,153119550
2022-04-19,47.299999,48.500000,45.000000,46.160000,46.160000,125776037
2022-04-20,46.340000,47.110001,45.029999,46.720001,46.720001,63360019
2022-04-21,45.509998,47.939999,45.500000,47.080002,47.080002,70413596
2022-04-22,47.770000,49.730000,47.490002,48.930000,48.930000,76504488
2022-04-25,51.020000,52.290001,50.240002,51.700001,51.700001,176803635
2022-04-26,51.570000,51.619999,49.430000,49.680000,49.680000,115020379
2022-04-27,49.060001,49.259998,47.820000,48.639999,48.639999,59106880
2022-04-28,49.009998,49.915001,47.959999,49.110001,49.110001,43816868
2022-04-29,49.450001,50.250000,48.740002,49.020000,49.020000,38250854
2022-05-02,48.700001,49.759998,48.570000,49.139999,49.139999,32608086
2022-05-03,49.150002,49.480000,48.750000,48.869999,48.869999,24773030
2022-05-04,48.799999,49.250000,48.340000,49.060001,49.060001,28442976
2022-05-05,50.529999,51.209999,49.810001,50.360001,50.360001,60506940
2022-05-06,49.959999,50.290001,49.500000,49.799999,49.799999,23446331
2022-05-09,49.299999,49.439999,47.625000,47.959999,47.959999,37706836
2022-05-10,47.910000,48.360001,46.500000,47.259998,47.259998,23816665
2022-05-11,46.950001,48.150002,45.799999,46.090000,46.090000,24815127
2022-05-12,45.009998,47.470001,43.330002,45.080002,45.080002,37682245
2022-05-13,40.400002,42.000000,40.009998,40.720001,40.720001,101830362
2022-05-16,39.169998,39.289902,37.320000,37.389999,37.389999,52310654
2022-05-17,37.000000,38.869999,36.849998,38.320000,38.320000,44990281
2022-05-18,37.419998,38.720001,36.575001,36.849998,36.849998,24010289
2022-05-19,36.760201,38.500000,36.200001,37.290001,37.290001,32000301
2022-05-20,37.770000,38.310001,36.750000,38.290001,38.290001,23637863
2022-05-23,37.770000,38.000000,36.939999,37.860001,37.860001,13601346
2022-05-24,36.939999,37.202599,35.400002,35.759998,35.759998,22662972
2022-05-25,36.060001,37.369999,36.020000,37.160000,37.160000,23262766
2022-05-26,38.520000,39.589901,38.230000,39.520000,39.520000,22968398
2022-05-27,39.570000,40.770000,39.480000,40.169998,40.169998,16789855
2022-05-31,40.070000,40.349998,39.419998,39.599998,39.599998,11579046
2022-06-01,39.799999,40.259998,39.240002,39.299999,39.299999,11117247
2022-06-02,39.070000,40.465000,38.810001,39.910000,39.910000,11696029
2022-06-03,40.450001,41.040001,39.974998,40.160000,40.160000,18269884
2022-06-06,38.160000,39.939999,37.913799,39.560001,39.560001,26119634
2022-06-07,39.084999,40.240002,38.950001,40.130001,40.130001,15808735
2022-06-08,39.959999,41.290001,39.830002,40.439999,40.439999,15292960
2022-06-09,40.250000,40.540001,39.529999,39.529999,39.529999,7978363
2022-06-10,39.520000,39.630001,38.889999,38.980000,38.980000,10534875
2022-06-13,38.000000,38.580002,36.904999,37.029999,37.029999,11599750
2022-06-14,37.950001,38.869900,37.189999,37.220001,37.220001,13408129
2022-06-15,37.500000,38.509998,37.240002,37.990002,37.990002,14717735
2022-06-16,38.610001,38.712101,36.959999,37.360001,37.360001,20732515
2022-06-17,37.320000,38.049999,37.020000,37.779999,37.779999,25049181
2022-06-21,38.169998,39.080002,37.654999,38.910000,38.910000,16902230
2022-06-22,38.570000,39.337200,38.409302,38.529999,38.529999,10831346
2022-06-23,38.759998,39.080002,38.250000,38.680000,38.680000,6327584
2022-06-24,39.009998,39.919899,38.869999,39.410000,39.410000,18090592
2022-06-27,39.669998,39.880001,38.895000,39.189999,39.189999,7147758
2022-06-28,39.209999,39.705002,38.650002,38.790001,38.790001,6059297
2022-06-29,38.759998,38.779999,37.639999,37.799999,37.799999,7178574
2022-06-30,37.529999,38.020000,36.990002,37.389999,37.389999,7133074
2022-07-01,37.380001,38.240002,37.080002,38.230000,38.230000,6305717
2022-07-05,38.180000,38.639999,37.248001,38.380001,38.380001,8162005
2022-07-06,38.209999,38.450001,37.737400,38.209999,38.209999,4870258
2022-07-07,38.320000,39.509998,38.320000,38.790001,38.790001,13214877
2022-07-08,37.509998,37.549999,36.799999,36.810001,36.810001,29822940
2022-07-11,34.599998,34.900002,32.549999,32.650002,32.650002,67259339
2022-07-12,32.759998,34.389999,32.520000,34.060001,34.060001,29539372
2022-07-13,34.950001,37.160000,34.799999,36.750000,36.750000,50267711
2022-07-14,36.590000,37.099998,36.189999,36.290001,36.290001,18951620
2022-07-15,36.619999,37.771999,36.270000,37.740002,37.740002,14809322
2022-07-18,37.580002,38.755001,37.340000,38.410000,38.410000,15147525
2022-07-19,38.509998,40.500000,38.500000,39.490002,39.490002,37491773
2022-07-20,39.560001,40.005001,38.820000,39.599998,39.599998,13946408
2022-07-21,39.500000,40.099998,39.119999,39.520000,39.520000,11409767
2022-07-22,38.900002,40.180000,38.709999,39.840000,39.840000,25188675
2022-07-25,39.230000,39.599998,38.735500,39.240002,39.240002,10395602
2022-07-26,39.080002,39.529999,38.889999,39.340000,39.340000,12637219
2022-07-27,39.580002,40.110001,39.131199,39.849998,39.849998,11598069
2022-07-28,39.759998,40.900002,39.580601,40.889999,40.889999,10153642
2022-07-29,40.799999,41.779999,40.750000,41.610001,41.610001,11787736
2022-08-01,41.119999,41.349998,40.459999,40.889999,40.889999,14094775
2022-08-02,40.750000,41.270000,40.650002,40.980000,40.980000,5244403
2022-08-03,41.000000,41.389999,40.889999,41.000000,41.000000,9348811
2022-08-04,41.000000,41.230000,40.549999,41.060001,41.060001,6169363
2022-08-05,40.810001,42.660000,40.599998,42.520000,42.520000,16048236
2022-08-08,42.939999,43.544998,42.869999,42.939999,42.939999,8130857
2022-08-09,42.779999,43.115002,42.600899,42.830002,42.830002,8309624
2022-08-10,44.520000,44.650002,43.827499,44.430000,44.430000,14507171
2022-08-11,44.369999,44.630001,43.634998,43.939999,43.939999,7254851
2022-08-12,44.009998,44.599998,43.930000,44.259998,44.259998,7857453
2022-08-15,44.189999,44.775002,43.958000,44.500000,44.500000,8955100
2022-08-16,44.340000,45.000000,44.240002,44.400002,44.400002,7924144
2022-08-17,44.250000,44.509998,43.849998,43.990002,43.990002,6111904
2022-08-18,44.119999,44.439999,43.810001,43.860001,43.860001,6289503
2022-08-19,43.520000,44.009998,43.349998,43.990002,43.990002,8103532
2022-08-22,43.500000,43.660000,42.810001,43.009998,43.009998,7904473
2022-08-23,41.360001,41.939999,39.848099,39.860001,39.860001,26037265
2022-08-24,39.279999,40.990002,38.770000,40.790001,40.790001,17136655
2022-08-25,40.500000,41.490002,40.169998,41.049999,41.049999,10349518
2022-08-26,41.150002,41.199402,40.230000,40.459999,40.459999,10144129
2022-08-29,40.220001,40.595001,39.990002,40.040001,40.040001,6695767
2022-08-30,39.869999,40.090000,39.070000,39.320000,39.320000,9617948
